Warmmiete_in_Euro,Kaution_Genossenschaftsanteile_in_Euro,Etage,Wohnflache_qm,Ort,Verfugbar_ab_Jahr,Heizkosten_in_Euro,Wohnungstyp,Verfugbar_ab_Monat,Erstellungsdatum,Ausstattung,Anzeigennummer,Heizungsart,Zimmer
,,1,86,Hauptstr. 9 26122 Niedersachsen - Oldenburg,2017,,Etagenwohnung,11,11.08.2017,Balkon Einbauküche Dusche,697878576,Gasheizung,86
595,1.395,3,73,Mecklenburgstrasse 19053 Schwerin - Altstadt,2017,,Dachgeschosswohnung,08,28.07.2017,Einbauküche Badewanne Gäste WC Neubau Keller Garage/Stellplatz WG-geeignet,690782321,Zentralheizung,73
520,,5,70,Fischerstr. 12 17033 Mecklenburg-Vorpommern - Neubrandenburg,2017,,Etagenwohnung,09,26.07.2017,Möbliert/Teilmöbliert Balkon Einbauküche Badewanne Neubau Keller Garage/Stellplatz WG-geeignet,689978874,Fernwärme,70
1.160,2.730,1,115,50739 Köln - Nippes,2017,100,Etagenwohnung,09,16.07.2017,Balkon Einbauküche Badewanne Gäste WC Keller Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,684072395,Fernwärme,115
350,,2,55,Unterer Ardeyweg 9 58762 Nordrhein-Westfalen - Altena,2017,70,Dachgeschosswohnung,05,23.05.2017,Badewanne Dusche Dachboden Garage/Stellplatz Haustiere erlaubt,656288726,Gasheizung,55
550,1.100,2,75,46562 Nordrhein-Westfalen - Voerde (Niederrhein),2017,50,Dachgeschosswohnung,08,04.08.2017,,694513195,,75
580,1.400,1,70,27793 Niedersachsen - Wildeshausen,,,Dachgeschosswohnung,,21.05.2017,Balkon Einbauküche Badewanne Dusche Neubau Garage/Stellplatz,655428822,Gasheizung,70
1.070,1.900,,150,66292 Saarland - Riegelsberg,2017,,,10,04.07.2017,Terrasse Keller Badewanne Dusche Gäste-WC Barrierefrei WG-geeignet Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,678265019,Zentralheizung,150
560,1.500,3,52,Gartenstr.7 78054 Baden-Württemberg - Villingen-Schwenningen,2017,,Dachgeschosswohnung,09,13.08.2017,Möbliert/Teilmöbliert Einbauküche Dusche Garage/Stellplatz,699343688,,52
1.100,2.500,1,75,Zum Bergwerk 11 60437 Frankfurt (Main) - Kalbach,2017,100,Hochparterre,09,31.07.2017,Möbliert/Teilmöbliert Balkon Badewanne Gäste WC Altbau Keller Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,690197287,Gasheizung,75
,,8,30,67063 Rheinland-Pfalz - Ludwigshafen,,,Etagenwohnung,,02.08.2017,Einbauküche Badewanne Aufzug Keller,682923658,Zentralheizung,30
,,,120,Im Dahler Feld 81 59379 Nordrhein-Westfalen - Selm,,,,,08.09.2016,Möbliert/Teilmöbliert Balkon Terrasse Einbauküche Badewanne Dusche Gäste WC Altbau Keller Dachboden Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt WG-geeignet,427479437,,120
600,1.410,3,77,Twellkämpe 3 3 32545 Nordrhein-Westfalen - Bad Oeynhausen,,,Etagenwohnung,,01.08.2017,Aufzug,692811899,,77
,,2,78,Sudetenring 18/1 68723 Baden-Württemberg - Schwetzingen,2017,,Etagenwohnung,10,02.08.2017,Balkon Einbauküche Badewanne Keller Garage/Stellplatz,693189196,Zentralheizung,78
412,680,1,34,Am Stadtpark 3+5 93426 Bayern - Roding,2017,17,,07,11.07.2017,Balkon Einbauküche Dusche Barrierefrei Neubau Aufzug Keller Garage/Stellplatz Garten/-mitnutzung,681520322,Gasheizung,34
490,680,1,56,Anton-Günther-Str. 7c 26135 Niedersachsen - Oldenburg,2017,,Etagenwohnung,09,07.08.2017,Balkon Einbauküche Dusche Garage/Stellplatz,695906337,Zentralheizung,56
720,1.000,0,110,19063 Schwerin - Mueßer Holz,2017,110,Erdgeschosswohnung,09,20.06.2017,Balkon Badewanne Dusche Gäste WC Altbau Keller Haustiere erlaubt WG-geeignet,670724659,Zentralheizung,110
380,,5,64,17491 Mecklenburg-Vorpommern - Greifswald,2017,,Etagenwohnung,10,30.07.2017,Möbliert/Teilmöbliert Balkon Einbauküche Badewanne Keller Garage/Stellplatz Haustiere erlaubt WG-geeignet,691920760,,64
420,0,0,62,33330 Nordrhein-Westfalen - Gütersloh,2017,70,Erdgeschosswohnung,10,12.08.2017,Balkon Einbauküche Badewanne Keller Dachboden Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,698889371,Etagenheizung,62
690,980,3,85,Werthhovener Weg 10 53343 Nordrhein-Westfalen - Wachtberg,2017,,Dachgeschosswohnung,11,13.08.2017,Einbauküche Badewanne Dusche Dachboden Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,699430218,Gasheizung,85
,,1,50,46539 Nordrhein-Westfalen - Dinslaken,,,,,04.07.2017,,678402594,,50
995,1.500,0,86,27793 Niedersachsen - Wildeshausen,,,Sonstige,,02.07.2017,Balkon Terrasse Badewanne Dusche Gäste WC Barrierefrei Neubau Aufzug Garage/Stellplatz,677317491,Gasheizung,86
1.200,1.980,,145,Kurzenbergstr. 101 66292 Saarland - Riegelsberg,2017,110,,09,13.08.2017,Balkon Einbauküche Keller Badewanne Dusche Gäste-WC Garage/Stellplatz Garten/-mitnutzung,699277042,Fußbodenheizung,145
,1.200,2,110,73450 Baden-Württemberg - Neresheim,2017,,Etagenwohnung,09,11.06.2017,Möbliert/Teilmöbliert Balkon Einbauküche Badewanne Dusche Gäste WC Keller Garage/Stellplatz,666103609,Sonstige,110
1.450,,,105,60528 Süd - Niederrad,2017,,Erdgeschosswohnung,09,05.08.2017,Terrasse Einbauküche Dusche Gäste WC Altbau Keller Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,694989347,Gasheizung,105
,,4,83,67227 Rheinland-Pfalz - Frankenthal (Pfalz),,,Etagenwohnung,,03.08.2017,Balkon Einbauküche Badewanne Dusche vorhanden Gäste-WC Aufzug Keller Garage/Stellplatz,667236472,Zentralheizung,83
,,,,,,,,,,,,,
,,,400,48599 Nordrhein-Westfalen - Gronau (Westfalen),,,,,12.08.2017,Möbliert/Teilmöbliert Balkon Terrasse Einbauküche Dachboden Badewanne Dusche Gäste-WC Barrierefrei WG-geeignet Garage/Stellplatz Garten/-mitnutzung,698360358,Gasheizung,400
,1.398,3,78,Kampstraße 21 45768 Nordrhein-Westfalen - Marl,,52,Etagenwohnung,,04.08.2017,Balkon Badewanne Keller,694071418,,78
,2.160,,65,68199 Baden-Württemberg - Mannheim,,,Etagenwohnung,,28.07.2017,Keller Garage/Stellplatz,679897555,Fernwärme,65
1.140,2.800,,93,Am Gottesberg 97421 Bayern - Schweinfurt,2017,,Erdgeschosswohnung,10,07.07.2017,Terrasse Einbauküche Badewanne Dusche Barrierefrei Neubau Aufzug Keller Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,679761675,Fußbodenheizung,93
400,,2,70,37647 Niedersachsen - Polle,2017,,Dachgeschosswohnung,10,05.08.2017,Einbauküche Dusche Keller Garage/Stellplatz Haustiere erlaubt,694823921,,70
440,900,0,58,Fritz-Reuter-Platz 5 19417 Mecklenburg-Vorpommern - Warin,2017,,Erdgeschosswohnung,09,23.07.2017,Balkon Einbauküche Dusche Altbau Keller Haustiere erlaubt,687944888,Zentralheizung,58
406,1.100,3,54,Hanns-Rohtbarth-str 23966 Mecklenburg-Vorpommern - Wismar,2017,,Etagenwohnung,10,21.07.2017,Möbliert/Teilmöbliert Balkon Badewanne Dusche Neubau Keller Garage/Stellplatz Haustiere erlaubt,686777932,,54
775,1.260,1,126,32351 Nordrhein-Westfalen - Stemwede,2017,,Dachgeschosswohnung,10,12.08.2017,Einbauküche Badewanne Dusche Altbau Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,698326592,Ölheizung,126
689,1.497,1,69,44339 Dortmund - Dortmund-Eving,2017,,Dachgeschosswohnung,09,11.08.2017,Möbliert/Teilmöbliert Einbauküche Badewanne Dusche Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,698229613,Fußbodenheizung,69
386,772,3,35,Grenzstr. 7 46535 Nordrhein-Westfalen - Dinslaken,2017,48,Dachgeschosswohnung,10,05.07.2017,,678953287,Fernwärme,35
1.350,3.450,2,100,Carl-Mahr.Str. 8 37085 Niedersachsen - Göttingen,2017,,Dachgeschosswohnung,05,15.05.2017,Balkon Terrasse Badewanne Dusche Gäste WC Neubau Aufzug Garage/Stellplatz,652369395,Gasheizung,100
1.175,1.990,,135,66780 Saarland - Rehlingen-Siersburg,2017,,,11,25.06.2017,Balkon Terrasse Einbauküche Keller Dachboden Badewanne Dusche Gäste-WC Garage/Stellplatz Garten/-mitnutzung,673518260,Ölheizung,135
790,,1,85,Stangenäckerstrasse 72336 Baden-Württemberg - Balingen,2017,150,Etagenwohnung,10,26.07.2017,Möbliert/Teilmöbliert Balkon Einbauküche Badewanne Altbau Keller Garage/Stellplatz Haustiere erlaubt WG-geeignet,689673022,Ölheizung,85
,1.050,,140,Gut Boxerode 4 36179 Hessen - Bebra,2017,,Hochparterre,11,24.07.2017,Terrasse Badewanne Dusche Gäste WC Altbau Keller Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,688375620,Ölheizung,140
,,3,83,67278 Rheinland-Pfalz - Bockenheim,,,Etagenwohnung,,02.08.2017,Balkon Einbauküche Dusche vorhanden Gäste-WC Neubau Keller Garage/Stellplatz,667240138,Etagenheizung,83
435,1.050,0,35,55130 Rheinland-Pfalz - Mainz,2017,45,Souterrain,09,09.08.2017,Einbauküche Dusche,696838970,Zentralheizung,35
,,,320,48599 Nordrhein-Westfalen - Gronau (Westfalen),2018,,,01,03.07.2017,Balkon Terrasse Einbauküche Badewanne Dusche Gäste-WC Keller Garage/Stellplatz,677837284,Gasheizung,320
790,1.380,1,99,57072 Nordrhein-Westfalen - Siegen,2017,,Etagenwohnung,10,31.07.2017,Balkon Badewanne Keller Garage/Stellplatz,692480782,Gasheizung,99
,,,75,68199 Baden-Württemberg - Mannheim,,,Erdgeschosswohnung,,11.08.2017,Einbauküche Keller Garage/Stellplatz,697918864,Fernwärme,75
1.000,1.700,,60,85049 Bayern - Ingolstadt,2017,,Erdgeschosswohnung,10,22.07.2017,Terrasse Einbauküche Dusche Barrierefrei Aufzug Keller Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,687504015,Fernwärme,60
585,1.025,,81,29308 Niedersachsen - Winsen (Aller),2017,82,Dachgeschosswohnung,08,25.07.2017,Balkon Einbauküche Dusche Keller Dachboden Wohnberechtigungsschein benötigt Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,688980969,Gasheizung,81
805,,2,115,18273 Güstrow - Landkreis - Güstrow,2017,115,,11,14.08.2017,Balkon Einbauküche Badewanne Dusche Altbau Keller Dachboden,699869263,Zentralheizung,115
420,,3,55,19061 Schwerin - Wüstmark,2017,,,09,22.07.2017,Möbliert/Teilmöbliert Balkon Badewanne Keller Dachboden Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,687629250,Zentralheizung,55
560,,2,66,45357 Essen - Essen-Borbeck,2018,,Dachgeschosswohnung,01,26.07.2017,Einbauküche Badewanne Keller Dachboden Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,689604385,Ölheizung,66
,1.350,,90,52511 Nordrhein-Westfalen - Geilenkirchen,,,Maisonette,,07.08.2017,Möbliert/Teilmöbliert Terrasse Einbauküche Dusche Gäste WC Neubau Garage/Stellplatz Garten/-mitnutzung,696017313,Gasheizung,90
,,,59,Brunnenstraße 5 32805 Nordrhein-Westfalen - Horn-Bad Meinberg,,51,Dachgeschosswohnung,,01.08.2017,Garage/Stellplatz,692769093,Zentralheizung,59
850,1.500,2,93,Zur Laake 10 49809 Niedersachsen - Lingen (Ems),2017,,Dachgeschosswohnung,11,05.08.2017,Balkon Terrasse Einbauküche Dusche Gäste WC Neubau Garage/Stellplatz,694607913,Fußbodenheizung,93
,,,280,66578 Saarland - Schiffweiler,2017,,,12,02.08.2017,Balkon Terrasse Einbauküche Badewanne Dusche Gäste-WC Keller Dachboden Garage/Stellplatz Garten/-mitnutzung Einliegerwohnung,604795384,Gasheizung,280
950,,,60,Mörike str 1 75210 Baden-Württemberg - Keltern,2017,,Etagenwohnung,07,31.07.2017,Möbliert/Teilmöbliert Einbauküche Dusche Garage/Stellplatz Garten/-mitnutzung WG-geeignet,692250418,Gasheizung,60
385,780,2,40,Niedervellmarsche Str. 44 34233 Hessen - Fuldatal,2017,60,Etagenwohnung,09,04.08.2017,Einbauküche Dusche Altbau Keller Garage/Stellplatz Garten/-mitnutzung Haustiere erlaubt,694293183,Ölheizung,40
,,3,155,76726 Rheinland-Pfalz - Germersheim,,,Maisonette,,01.08.2017,Balkon Einbauküche Badewanne Dusche vorhanden Gäste-WC Neubau Keller Garage/Stellplatz,655602772,Etagenheizung,155
430,860,,52,Richard-Stumm-Straße 11 67549 Rheinland-Pfalz - Worms,2017,,Souterrain,09,14.08.2017,Möbliert/Teilmöbliert Einbauküche Badewanne Dusche Garten/-mitnutzung,699625236,Fußbodenheizung,52
,,,800,32689 Nordrhein-Westfalen - Kalletal,,,,,01.08.2017,Balkon Terrasse Einbauküche Badewanne Dusche Gäste-WC Keller Garage/Stellplatz Garten/-mitnutzung,548408170,Zentralheizung,800
446,,1,39,57074 Nordrhein-Westfalen - Siegen,2017,80,Etagenwohnung,10,27.06.2017,Möbliert/Teilmöbliert Balkon Einbauküche Dusche Neubau Keller Garage/Stellplatz,674492101,Gasheizung,39
